Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя
Базовое_масло_2,01302.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00003
Базовое_масло_2,01302.22,"Массовая доля цинка, ASTM D6481",% масс,0.000012
Базовое_масло_2,01302.22,Последовательность 1 | ASTM D892,см³,430
Базовое_масло_2,01302.22,Последовательность 2 | ASTM D892,см³,30
Базовое_масло_2,01302.22,Последовательность 3 | ASTM D892,см³,460
Базовое_масло_2,01302.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-18
Базовое_масло_7,01301.22,Деэм.вода | ASTM D1401,мл,37
Базовое_масло_7,01301.22,Деэм.время | ASTM D1401,мин,10
Базовое_масло_7,01301.22,Деэм.масло | ASTM D1401,мл,43
Базовое_масло_7,01301.22,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_7,01301.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,6028
Базовое_масло_7,01301.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,12491
Базовое_масло_7,01301.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,25600
Базовое_масло_7,01301.22,"Индекс вязкости, ГОСТ 25371",–,89
Базовое_масло_7,01301.22,"Испаряемость по NOACK, ASTM D5800",%,6.4
Базовое_масло_7,01301.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,80.34
Базовое_масло_7,01301.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.26
Базовое_масло_7,01301.22,"Массовая доля кальция, ASTM D6481",% масс,0.000038
Базовое_масло_7,01301.22,"Массовая доля серы, ASTM D6481",% масс,0.0991
Базовое_масло_7,01301.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00003
Базовое_масло_7,01301.22,"Массовая доля цинка, ASTM D6481",% масс,0.00002
Базовое_масло_7,01301.22,Последовательность 1 | ASTM D892,см³,70
Базовое_масло_7,01301.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_7,01301.22,Последовательность 3 | ASTM D892,см³,20
Базовое_масло_7,01301.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-19
Базовое_масло_10,01936.22 (CCS 2700),Деэм.вода | ASTM D1401,мл,40
Базовое_масло_10,01936.22 (CCS 2700),Деэм.время | ASTM D1401,мин,5
Базовое_масло_10,01936.22 (CCS 2700),Деэм.масло | ASTM D1401,мл,40
Базовое_масло_10,01936.22 (CCS 2700),Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_10,01936.22 (CCS 2700),"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,531
Базовое_масло_10,01936.22 (CCS 2700),"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,865
Базовое_масло_10,01936.22 (CCS 2700),"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1493
Базовое_масло_10,01936.22 (CCS 2700),"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2674
Базовое_масло_10,01936.22 (CCS 2700),"Индекс вязкости, ГОСТ 25371",–,112
Базовое_масло_10,01936.22 (CCS 2700),"Испаряемость по NOACK, ASTM D5800",%,13.4
Базовое_масло_10,01936.22 (CCS 2700),"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,23.95
Базовое_масло_10,01936.22 (CCS 2700),"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.66
Базовое_масло_10,01936.22 (CCS 2700),"Массовая доля кальция, ASTM D6481",% масс,0.0002
Базовое_масло_10,01936.22 (CCS 2700),"Массовая доля серы, ASTM D6481",% масс,0.0006
Базовое_масло_10,01936.22 (CCS 2700),"Массовая доля фосфора, ASTM D6481",% масс,0.0001
Базовое_масло_10,01936.22 (CCS 2700),"Массовая доля цинка, ASTM D6481",% масс,0.0001
Базовое_масло_10,01936.22 (CCS 2700),Последовательность 1 | ASTM D892,см³,0
Базовое_масло_10,01936.22 (CCS 2700),Последовательность 2 | ASTM D892,см³,0
Базовое_масло_10,01936.22 (CCS 2700),Последовательность 3 | ASTM D892,см³,0
Базовое_масло_10,01936.22 (CCS 2700),"Температура застывания, ГОСТ 20287, метод Б",°C,-24
Загуститель_1,"01935.22 (8,2%)","Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,327.5
Базовое_масло_2,01940.22,Деэм.вода | ASTM D1401,мл,39
Базовое_масло_2,01940.22,Деэм.время | ASTM D1401,мин,5
Базовое_масло_2,01940.22,Деэм.масло | ASTM D1401,мл,41
Базовое_масло_2,01940.22,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_2,01940.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1067
Базовое_масло_2,01940.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2049
Базовое_масло_2,01940.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4252
Базовое_масло_2,01940.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,9446
Базовое_масло_2,01940.22,"Индекс вязкости, ГОСТ 25371",–,99
Базовое_масло_2,01940.22,"Испаряемость по NOACK, ASTM D5800",%,15
Базовое_масло_2,01940.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,31.12
Базовое_масло_2,01940.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.25
Базовое_масло_2,01940.22,"Массовая доля кальция, ASTM D6481",% масс,0.00014
Базовое_масло_2,01940.22,"Массовая доля серы, ASTM D6481",% масс,0.032
Базовое_масло_2,01940.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00003
Базовое_масло_2,01940.22,"Массовая доля цинка, ASTM D6481",% масс,0.00005
Базовое_масло_2,01940.22,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_2,01940.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_2,01940.22,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_2,01940.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-16
Базовое_масло_7,01768.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,5667
Базовое_масло_7,01768.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,12160
Базовое_масло_7,01768.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,25000
Базовое_масло_7,01768.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,50000
Базовое_масло_7,01768.22,"Индекс вязкости, ГОСТ 25371",–,90
Базовое_масло_7,01768.22,"Испаряемость по NOACK, ASTM D5800",%,6.5
Базовое_масло_7,01768.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,78.02
Базовое_масло_7,01768.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.146
Базовое_масло_7,01768.22,"Массовая доля кальция, ASTM D6481",% масс,0.00015
Базовое_масло_7,01768.22,"Массовая доля серы, ASTM D6481",% масс,0.07599
Базовое_масло_7,01768.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00004
Базовое_масло_7,01768.22,"Массовая доля цинка, ASTM D6481",% масс,0.000024
Базовое_масло_7,01768.22,Последовательность 1 | ASTM D892,см³,20
Базовое_масло_7,01768.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_7,01768.22,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_7,01768.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-19
Детергент_13,бочка 14,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,88.76
Детергент_13,бочка 14,"Щелочное число, ГОСТ 11362",мг KOH/г,399
Противоизносная_присадка_2,0112.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,13.37
Противоизносная_присадка_2,0112.22,"Массовая доля кальция, ASTM D6481",% масс,0
Противоизносная_присадка_2,0112.22,"Массовая доля серы, ASTM D6481",% масс,15.95
Противоизносная_присадка_2,0112.22,"Массовая доля фосфора, ASTM D6481",% масс,8.22
Противоизносная_присадка_2,0112.22,"Массовая доля цинка, ASTM D6481",% масс,9.65
Противоизносная_присадка_2,0112.22,"Щелочное число, ASTM D2896",мг KOH/г,19.65
Детергент_6,02034.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,215.7
Детергент_6,02034.22,"Массовая доля кальция, ASTM D6481",% масс,10.33
Детергент_6,02034.22,"Массовая доля серы, ASTM D6481",% масс,2.81
Детергент_6,02034.22,"Массовая доля фосфора, ASTM D6481",% масс,0.0012
Детергент_6,02034.22,"Массовая доля цинка, ASTM D6481",% масс,0.001
Детергент_6,02034.22,"Щелочное число, ASTM D2896",мг KOH/г,272.7
Противоизносная_присадка_2,02622.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,13.33
Противоизносная_присадка_2,02622.22,"Массовая доля серы, ASTM D6481",% масс,16.97
Противоизносная_присадка_2,02622.22,"Массовая доля фосфора, ASTM D6481",% масс,8
Противоизносная_присадка_2,02622.22,"Массовая доля цинка, ASTM D6481",% масс,9.25
Противоизносная_присадка_2,02622.22,"Щелочное число, ГОСТ 11362",мг KOH/г,14.73
Базовое_масло_10,02597.22,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_10,02597.22,Деэм.время | ASTM D1401,мин,5
Базовое_масло_10,02597.22,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_10,02597.22,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_10,02597.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,463
Базовое_масло_10,02597.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,757
Базовое_масло_10,02597.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1182
Базовое_масло_10,02597.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2063
Базовое_масло_10,02597.22,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,3819
Базовое_масло_10,02597.22,"Индекс вязкости, ГОСТ 25371",–,113
Базовое_масло_10,02597.22,"Испаряемость по NOACK, ASTM D5800",%,14.7
Базовое_масло_10,02597.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,"21,53"
Базовое_масло_10,02597.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.38
Базовое_масло_10,02597.22,"Массовая доля кальция, ASTM D6481",% масс,0.00003
Базовое_масло_10,02597.22,"Массовая доля серы, ASTM D6481",% масс,0.00002
Базовое_масло_10,02597.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00007
Базовое_масло_10,02597.22,"Массовая доля цинка, ASTM D6481",% масс,0.00005
Базовое_масло_10,02597.22,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_10,02597.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_10,02597.22,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_10,02597.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-26
Загуститель_1,02560.22 (9%вSN-150),"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,451.9
Базовое_масло_7,02595.22,Деэм.вода | ASTM D1401,мл,39
Базовое_масло_7,02595.22,Деэм.время | ASTM D1401,мин,5
Базовое_масло_7,02595.22,Деэм.масло | ASTM D1401,мл,41
Базовое_масло_7,02595.22,Деэм.эмульсия | ASTM D1401,мл,5
Базовое_масло_7,02595.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,5596
Базовое_масло_7,02595.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,11861
Базовое_масло_7,02595.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,24000
Базовое_масло_7,02595.22,"Индекс вязкости, ГОСТ 25371",–,92
Базовое_масло_7,02595.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,78.65
Базовое_масло_7,02595.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.25
Базовое_масло_7,02595.22,"Массовая доля кальция, ASTM D6481",% масс,0.00003
Базовое_масло_7,02595.22,"Массовая доля серы, ASTM D6481",% масс,0.046
Базовое_масло_7,02595.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00008
Базовое_масло_7,02595.22,"Массовая доля цинка, ASTM D6481",% масс,0.00005
Базовое_масло_7,02595.22,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_7,02595.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_7,02595.22,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_7,02595.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-18
Базовое_масло_1,069.23,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_1,069.23,Деэм.время | ASTM D1401,мин,5
Базовое_масло_1,069.23,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_1,069.23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_1,069.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,468
Базовое_масло_1,069.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,777
Базовое_масло_1,069.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1273
Базовое_масло_1,069.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2243
Базовое_масло_1,069.23,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,4211
Базовое_масло_1,069.23,"Индекс вязкости, ГОСТ 25371",–,111
Базовое_масло_1,069.23,"Испаряемость по NOACK, ASTM D5800",%,14
Базовое_масло_1,069.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.54
Базовое_масло_1,069.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.49
Базовое_масло_1,069.23,"Массовая доля кальция, ASTM D6481",% масс,0.0001
Базовое_масло_1,069.23,"Массовая доля серы, ASTM D6481",% масс,0.0001
Базовое_масло_1,069.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0001
Базовое_масло_1,069.23,"Массовая доля цинка, ASTM D6481",% масс,0.0001
Базовое_масло_1,069.23,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_1,069.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_1,069.23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_1,069.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-23
Загуститель_1,0488.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,473.7
Базовое_масло_2,071.23,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_2,071.23,Деэм.время | ASTM D1401,мин,5
Базовое_масло_2,071.23,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_2,071.23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_2,071.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1133
Базовое_масло_2,071.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2137
Базовое_масло_2,071.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4429
Базовое_масло_2,071.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,9680
Базовое_масло_2,071.23,"Индекс вязкости, ГОСТ 25371",–,99
Базовое_масло_2,071.23,"Испаряемость по NOACK, ASTM D5800",%,14
Базовое_масло_2,071.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.12
Базовое_масло_2,071.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.36
Базовое_масло_2,071.23,"Массовая доля кальция, ASTM D6481",% масс,0.0004
Базовое_масло_2,071.23,"Массовая доля серы, ASTM D6481",% масс,0.017
Базовое_масло_2,071.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0006
Базовое_масло_2,071.23,"Массовая доля цинка, ASTM D6481",% масс,0.0001
Базовое_масло_2,071.23,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_2,071.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_2,071.23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_2,071.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-17
Базовое_масло_7,03527.22,Деэм.вода | ASTM D1401,мл,38
Базовое_масло_7,03527.22,Деэм.время | ASTM D1401,мин,10
Базовое_масло_7,03527.22,Деэм.масло | ASTM D1401,мл,42
Базовое_масло_7,03527.22,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_7,03527.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,5597
Базовое_масло_7,03527.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,11915
Базовое_масло_7,03527.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,28157
Базовое_масло_7,03527.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,60000
Базовое_масло_7,03527.22,"Индекс вязкости, ГОСТ 25371",–,91
Базовое_масло_7,03527.22,"Испаряемость по NOACK, ASTM D5800",%,5.5
Базовое_масло_7,03527.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,78.57
Базовое_масло_7,03527.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.22
Базовое_масло_7,03527.22,"Массовая доля кальция, ASTM D6481",% масс,0.0001
Базовое_масло_7,03527.22,"Массовая доля серы, ASTM D6481",% масс,0.0788
Базовое_масло_7,03527.22,"Массовая доля фосфора, ASTM D6481",% масс,0.0001
Базовое_масло_7,03527.22,"Массовая доля цинка, ASTM D6481",% масс,0.0001
Базовое_масло_7,03527.22,Последовательность 1 | ASTM D892,см³,10
Базовое_масло_7,03527.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_7,03527.22,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_7,03527.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-19
Детергент_4,02585.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,16.58
Детергент_4,02585.22,"Массовая доля кальция, ASTM D6481",% масс,6.18
Детергент_4,02585.22,"Массовая доля фосфора, ASTM D6481",% масс,0.005
Детергент_4,02585.22,"Массовая доля цинка, ASTM D6481",% масс,0.008
Противоизносная_присадка_5,02975.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,12.17
Противоизносная_присадка_5,02975.22,"Массовая доля кальция, ASTM D6481",% масс,0.0001
Противоизносная_присадка_5,02975.22,"Массовая доля серы, ASTM D6481",% масс,15.99
Противоизносная_присадка_5,02975.22,"Массовая доля фосфора, ASTM D6481",% масс,8.768
Противоизносная_присадка_5,02975.22,"Массовая доля цинка, ASTM D6481",% масс,8.85
Базовое_масло_7,094.22 (D-2022-0022),Деэм.вода | ASTM D1401,мл,38
Базовое_масло_7,094.22 (D-2022-0022),Деэм.время | ASTM D1401,мин,10
Базовое_масло_7,094.22 (D-2022-0022),Деэм.масло | ASTM D1401,мл,42
Базовое_масло_7,094.22 (D-2022-0022),Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_7,094.22 (D-2022-0022),"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,6005
Базовое_масло_7,094.22 (D-2022-0022),"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,12582
Базовое_масло_7,094.22 (D-2022-0022),"Индекс вязкости, ГОСТ 25371",–,90
Базовое_масло_7,094.22 (D-2022-0022),"Испаряемость по NOACK, ASTM D5800",%,5.6
Базовое_масло_7,094.22 (D-2022-0022),"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,81.32
Базовое_масло_7,094.22 (D-2022-0022),"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.39
Базовое_масло_7,094.22 (D-2022-0022),"Массовая доля кальция, ASTM D6481",% масс,0.00008
Базовое_масло_7,094.22 (D-2022-0022),"Массовая доля серы, ASTM D6481",% масс,0.081
Базовое_масло_7,094.22 (D-2022-0022),"Массовая доля фосфора, ASTM D6481",% масс,0.00003
Базовое_масло_7,094.22 (D-2022-0022),"Массовая доля цинка, ASTM D6481",% масс,0.00001
Базовое_масло_7,094.22 (D-2022-0022),Последовательность 1 | ASTM D892,см³,0
Базовое_масло_7,094.22 (D-2022-0022),Последовательность 2 | ASTM D892,см³,0
Базовое_масло_7,094.22 (D-2022-0022),Последовательность 3 | ASTM D892,см³,0
Базовое_масло_7,094.22 (D-2022-0022),"Температура застывания, ГОСТ 20287, метод Б",°C,-21
Детергент_17,03133.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,21.5
Детергент_17,03133.22,"Массовая доля кальция, ASTM D6481",% масс,6.59
Детергент_17,03133.22,"Массовая доля фосфора, ASTM D6481",% масс,0.0015
Детергент_17,03133.22,"Массовая доля цинка, ASTM D6481",% масс,0.0005
Детергент_17,03133.22,"Щелочное число, ASTM D2896",мг KOH/г,173.6
Детергент_21,03008.22,,,
Детергент_19,03134.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,48.82
Детергент_19,03134.22,"Массовая доля кальция, ASTM D6481",% масс,9.91
Детергент_19,03134.22,"Массовая доля фосфора, ASTM D6481",% масс,0.002
Детергент_19,03134.22,"Массовая доля цинка, ASTM D6481",% масс,0.00012
Детергент_19,03134.22,"Щелочное число, ASTM D2896",мг KOH/г,253.1
Детергент_22,03009.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,117.8
Детергент_22,03009.22,"Массовая доля кальция, ASTM D6481",% масс,11.43
Детергент_22,03009.22,"Массовая доля серы, ASTM D6481",% масс,0.097
Детергент_22,03009.22,"Массовая доля фосфора, ASTM D6481",% масс,0.0008
Детергент_22,03009.22,"Массовая доля цинка, ASTM D6481",% масс,0.0014
Детергент_22,03009.22,"Щелочное число, ASTM D2896",мг KOH/г,324.2
Антиоксидант_3,02719.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,11.7
Антиоксидант_3,02719.22,"Щелочное число, ASTM D2896",мг KOH/г,166.7
Детергент_14,02989.22,,,
Детергент_20,03007.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,314.7
Детергент_20,03007.22,"Массовая доля кальция, ASTM D6481",% масс,8.63
Детергент_20,03007.22,"Массовая доля серы, ASTM D6481",% масс,2.79
Детергент_20,03007.22,"Массовая доля фосфора, ASTM D6481",% масс,0.002
Детергент_20,03007.22,"Массовая доля цинка, ASTM D6481",% масс,0.003
Детергент_20,03007.22,"Щелочное число, ASTM D2896",мг KOH/г,240.3
Депрессорная_присадка_1,13348.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,172.4
Антипенная_присадка_1,"из ЦП, от 02.12.2022",,,
Базовое_масло_5,0752.23,Деэм.вода | ASTM D1401,мл,39
Базовое_масло_5,0752.23,Деэм.время | ASTM D1401,мин,5
Базовое_масло_5,0752.23,Деэм.масло | ASTM D1401,мл,41
Базовое_масло_5,0752.23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_5,0752.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,2189
Базовое_масло_5,0752.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,3849
Базовое_масло_5,0752.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,7200
Базовое_масло_5,0752.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,14123
Базовое_масло_5,0752.23,"Индекс вязкости, ГОСТ 25371",–,117
Базовое_масло_5,0752.23,"Испаряемость по NOACK, ASTM D5800",%,3.2
Базовое_масло_5,0752.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,56.03
Базовое_масло_5,0752.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,8.22
Базовое_масло_5,0752.23,"Массовая доля кальция, ASTM D6481",% масс,0.0002
Базовое_масло_5,0752.23,"Массовая доля серы, ASTM D6481",% масс,0.0002
Базовое_масло_5,0752.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0002
Базовое_масло_5,0752.23,"Массовая доля цинка, ASTM D6481",% масс,0.0002
Базовое_масло_5,0752.23,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_5,0752.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_5,0752.23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_5,0752.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-14
Антиоксидант_3,03341.22,,,
Базовое_масло_11,0879.23,Деэм.вода | ASTM D1401,мл,37
Базовое_масло_11,0879.23,Деэм.время | ASTM D1401,мин,5
Базовое_масло_11,0879.23,Деэм.масло | ASTM D1401,мл,43
Базовое_масло_11,0879.23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_11,0879.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1184
Базовое_масло_11,0879.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2242
Базовое_масло_11,0879.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4648
Базовое_масло_11,0879.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10120
Базовое_масло_11,0879.23,"Индекс вязкости, ГОСТ 25371",–,100
Базовое_масло_11,0879.23,"Испаряемость по NOACK, ASTM D5800",%,14.1
Базовое_масло_11,0879.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.25
Базовое_масло_11,0879.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.38
Базовое_масло_11,0879.23,"Массовая доля кальция, ASTM D6481",% масс,0.0004
Базовое_масло_11,0879.23,"Массовая доля серы, ASTM D6481",% масс,0.024
Базовое_масло_11,0879.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0001
Базовое_масло_11,0879.23,"Массовая доля цинка, ASTM D6481",% масс,0.0001
Базовое_масло_11,0879.23,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_11,0879.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_11,0879.23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_11,0879.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-17
Базовое_масло_7,0575.23,Деэм.вода | ASTM D1401,мл,38
Базовое_масло_7,0575.23,Деэм.время | ASTM D1401,мин,10
Базовое_масло_7,0575.23,Деэм.масло | ASTM D1401,мл,42
Базовое_масло_7,0575.23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_7,0575.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,5273
Базовое_масло_7,0575.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,11062
Базовое_масло_7,0575.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,26044
Базовое_масло_7,0575.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,67645
Базовое_масло_7,0575.23,"Индекс вязкости, ГОСТ 25371",–,92
Базовое_масло_7,0575.23,"Испаряемость по NOACK, ASTM D5800",%,6.1
Базовое_масло_7,0575.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,77.46
Базовое_масло_7,0575.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.16
Базовое_масло_7,0575.23,"Массовая доля кальция, ASTM D6481",% масс,0.0002
Базовое_масло_7,0575.23,"Массовая доля серы, ASTM D6481",% масс,0.0686
Базовое_масло_7,0575.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0002
Базовое_масло_7,0575.23,"Массовая доля цинка, ASTM D6481",% масс,0.0002
Базовое_масло_7,0575.23,Последовательность 1 | ASTM D892,см³,20
Базовое_масло_7,0575.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_7,0575.23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_7,0575.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-19
Депрессорная_присадка_1,с ЦП 28.02.2024,,,
Антипенная_присадка_1,3% р-р в МУОБР,,,
Противоизносная_присадка_28,0784.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,10.15
Противоизносная_присадка_28,0784.24,"Массовая доля кальция, ASTM D6481",% масс,0.001
